Region,Year,Broad Category,COFOG Division,COFOG Division Name,COFOG Basis,Original Code,Original Name (native language),English Translation,Commitment (EUR '000),Payment (EUR '000),Notes
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P107,Affaires intérieures / Financer Bruxelles Prévention et Sécurité,Fund Bruxelles Prévention et Sécurité (regional prevention & security agency),127316,127316,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P135,Affaires intérieures / Financer le Centre de Formation des Pompiers de,"Fund the Fire Brigade Training Centre of [Brussels] [name truncated in source PDF extraction — ending inferred from context, not verified]",421,421,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P147,Affaires intérieures / Financer le service social de Pompiers.brussels,Fund the social service of Pompiers.brussels,410,410,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P148,Affaires intérieures / Financer l'Institut de Formation en Aide Médicale,"Fund the Emergency Medical Aid Training Institute (IFAMU) [name truncated in source PDF extraction — ending inferred from context, not verified]",321,321,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P149,Affaires intérieures / Financer Jeunes Sapeurs-Pompiers de Bruxelles,Fund Young Firefighters of Brussels,200,200,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,Local Governments & Home Affairs,03,Public order and safety,"Approximated (Claude, Division-level only)",M40-P151,Affaires intérieures / Financer l'ERAP,Fund ERAP (Regional School of Public Administration),3356,3372,"[COFOG] BLENDED: mostly Public order & safety (fire, security, disaster — dominant by value) + Local government support (01.8) + religious worship funding (COFOG 08.4). Primary = 03."
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M39-P114,Planification régionale et relations extérieures / Financer Brupartners,Fund Brupartners (Brussels Economic and Social Council),4933,4933,[COFOG] Economic/social advisory council — Economic affairs.
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P001,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer les moyens de subsistance de",Fund operating resources,18491,18491,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P041,"Economie et Economie sociale, Emploi et Recherche et Innovation / Encourager le développement économique durable",Encourage sustainable economic development,85850,73252,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P042,"Economie et Economie sociale, Emploi et Recherche et Innovation / Encourager l'agriculture durable dans la Région de","Encourage sustainable agriculture in the [Brussels-Capital] Region [name truncated in source PDF extraction — ending inferred from context, not verified]",1238,1116,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P043,"Economie et Economie sociale, Emploi et Recherche et Innovation / Gérer les missions régaliennes en matière de","Manage core state functions in the field of [economic regulation] [name truncated in source PDF extraction — ending inferred from context, not verified]",195,195,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P045,"Economie et Economie sociale, Emploi et Recherche et Innovation / Promouvoir le commerce extérieur et attirer les","Promote foreign trade and attract [investment] [name truncated in source PDF extraction — ending inferred from context, not verified]",1701,393,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P046,"Economie et Economie sociale, Emploi et Recherche et Innovation / Encouragement de la recherche scientifique à","Encouragement of scientific research in [Brussels] [name truncated in source PDF extraction — ending inferred from context, not verified]",5746,8293,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P047,"Economie et Economie sociale, Emploi et Recherche et Innovation / Soutenir l’emploi, l’inclusion et le développement","Support employment, inclusion and [social] development [name truncated in source PDF extraction — ending inferred from context, not verified]",33516,31822,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P048,"Economie et Economie sociale, Emploi et Recherche et Innovation / Soutenir l’emploi de proximité et le développement","Support local/proximity employment and [social economy] development [name truncated in source PDF extraction — ending inferred from context, not verified]",303091,303732,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P106,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer Innoviris",Fund Innoviris (regional research & innovation funding agency),59298,58495,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P111,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer Actiris",Fund Actiris (regional employment agency),726412,726412,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P113,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer le Port de Bruxelles",Fund the Port of Brussels,17691,18312,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P115,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer Brusoc",Fund Brusoc (social/solidarity investment fund),3542,3614,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P116,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer le fonds de garantie bruxellois",Fund the Brussels guarantee fund,1245,1245,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P122,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer hub.brussels",Fund hub.brussels (regional economic development & investment agency),43847,43657,
Brussels,2025,"Economy, Employment, Innovation & Research (incl. Agriculture)",04,Economic affairs,"Approximated (Claude, Division-level only)",M44-P143,"Economie et Economie sociale, Emploi et Recherche et Innovation / Financer Mad.brussels",Fund Mad.brussels (fashion & design promotion agency),825,839,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P001,Mobilité / Financer les moyens de subsistance de,Fund operating resources,51908,51597,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P013,Mobilité / Dépenses dans le cadre du fonds pour l'équipement,"Expenditure under the fund for [transport] equipment [name truncated in source PDF extraction — ending inferred from context, not verified]",3097,4214,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P036,Mobilité / Développer et promouvoir la sécurité routière (par,"Develop and promote road safety (through [awareness/enforcement]) [name truncated in source PDF extraction — ending inferred from context, not verified]",22133,27069,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P041,Mobilité / Développer et promouvoir une politique globale de,"Develop and promote a comprehensive [mobility] policy [name truncated in source PDF extraction — ending inferred from context, not verified]",13512,12212,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P042,Mobilité / Assurer le fonctionnement des réseaux de la Région,"Ensure the operation of the Region's [transport] networks [name truncated in source PDF extraction — ending inferred from context, not verified]",11402,11760,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P043,"Mobilité / Construire, améliorer et entretenir les routes","Build, improve and maintain roads",187011,424037,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P044,Mobilité / Développer et maintenir les infrastructures de,"Develop and maintain [transport] infrastructure [name truncated in source PDF extraction — ending inferred from context, not verified]",92163,84750,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P045,Mobilité / Mettre en oeuvre une politique relative au secteur,"Implement a policy relating to the [transport] sector [name truncated in source PDF extraction — ending inferred from context, not verified]",2039,1945,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P112,Mobilité / Financer la Société des Transports Intercommunaux,Fund STIB (Brussels Intercommunal Transport Company),1116314,1116314,
Brussels,2025,Mobility & Infrastructure,04,Economic affairs,"Approximated (Claude, Division-level only)",M42-P120,Mobilité / Financer parking.brussels,Fund parking.brussels (regional parking agency),4453,4453,
Brussels,2025,Tourism,04,Economic affairs,"Approximated (Claude, Division-level only)",M39-P121,Planification régionale et relations extérieures / Financer visit.brussels,Fund visit.brussels (Brussels tourism agency),27106,27016,[COFOG] Tourism — COFOG 04.7.3.
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P020,Environnement et Energie / Dépenses dans le cadre du fonds pour la protection,"Expenditure under the fund for the protection of [the environment] [name truncated in source PDF extraction — ending inferred from context, not verified]",0,0,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P025,Environnement et Energie / Dépenses dans le cadre du fonds relatif à la,"Expenditure under the fund relating to [environmental matters] [name truncated in source PDF extraction — ending inferred from context, not verified]",20253,19717,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P029,Environnement et Energie / Dépenses dans le cadre du fonds social de guidance,"Expenditure under the social energy/fuel-poverty guidance fund [name truncated in source PDF extraction — ending inferred from context, not verified]",1340,1300,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P031,Environnement et Energie / Dépenses dans le cadre du fonds pour le climat,Expenditure under the climate fund,0,0,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P032,"Environnement et Energie / Dépenses dans le cadre du fonds pour la prévention,","Expenditure under the fund for prevention [of environmental risk] [name truncated in source PDF extraction — ending inferred from context, not verified]",0,0,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P041,Environnement et Energie / Promouvoir l'efficacité énergétique et réglementer,"Promote energy efficiency and regulate [the energy market] [name truncated in source PDF extraction — ending inferred from context, not verified]",101591,107617,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P042,Environnement et Energie / Promouvoir l'environnement,Promote the environment,0,0,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P102,Environnement et Energie / Financer Bruxelles Environnement,Fund Bruxelles Environnement (regional environment agency),218569,217446,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P103,Environnement et Energie / Financer Bruxelles-Propreté,Fund Bruxelles-Propreté (regional waste/cleaning agency),404093,408842,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P145,Environnement et Energie / Financer Homegrade,Fund Homegrade (sustainable building/renovation advice centre),5770,5742,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P202,Environnement et Energie / Faciliter la transition écologique vers une région,"Facilitate the ecological transition towards a [more sustainable] region [name truncated in source PDF extraction — ending inferred from context, not verified]",0,0,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P301,Environnement et Energie / Financer les moyens de subsistance de Brugel,Fund the operating resources of Brugel (energy/water regulator),5142,5142,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",05,Environmental protection,"Approximated (Claude, Division-level only)",M41-P302,Environnement et Energie / Contrôler le marché de l'énergie et le secteur de,"Regulate the energy market and the [water] sector [name truncated in source PDF extraction — ending inferred from context, not verified]",1267,1267,"[COFOG] BLENDED: Environmental protection (05) + Energy-specific items like Brugel and energy-efficiency programmes, which sit in COFOG 04.3 (Economic affairs). Primary = 05."
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P001,Développement territorial & Logement / Financer les moyens de subsistance de,Fund operating resources,12228,11911,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P002,Développement territorial & Logement / Financer les moyens de subsistance du SPRB,Fund operating resources of the SPRB,35983,36433,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P016,Développement territorial & Logement / Dépenses dans le cadre du fonds d'aménagement,"Expenditure under the [urban planning] development fund [name truncated in source PDF extraction — ending inferred from context, not verified]",5623,6826,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P026,Développement territorial & Logement / Dépenses dans le cadre du fonds budgétaire,Expenditure under the budgetary fund,600,600,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P028,Développement territorial & Logement / Dépenses dans le cadre du fonds droit de gestion,"Expenditure under the management-right fund [name truncated in source PDF extraction — ending inferred from context, not verified]",621,578,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P037,"Développement territorial & Logement / Dépenses dans le cadre du fonds de recherche, de","Expenditure under the research fund [name truncated in source PDF extraction — ending inferred from context, not verified]",540,539,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P041,Développement territorial & Logement / Financer l'accès au logement de qualité en Région,"Fund access to quality housing in the [Brussels-Capital] Region [name truncated in source PDF extraction — ending inferred from context, not verified]",75929,78581,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P042,Développement territorial & Logement / Favoriser l'accès à la propriété privée,Promote access to private property ownership,468,455,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P043,Développement territorial & Logement / Soutenir les organismes et associations ou pouvoirs,"Support organisations, associations or [local] authorities [name truncated in source PDF extraction — ending inferred from context, not verified]",13328,12502,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P071,"Développement territorial & Logement / Soutenir efficacement l'urbanisme, le","Efficiently support urban planning [and related matters] [name truncated in source PDF extraction — ending inferred from context, not verified]",21402,32049,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P072,Développement territorial & Logement / Soutenir efficacement la revitalisation urbaine,Efficiently support urban revitalisation,82756,140811,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P109,Développement territorial & Logement / Financer le Fonds du Logement de la Région de,"Fund the Brussels-Capital Region Housing Fund [name truncated in source PDF extraction — ending inferred from context, not verified]",65602,70213,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P110,Développement territorial & Logement / Financer la Société du Logement de la Région de,"Fund the Brussels-Capital Region Housing Company [name truncated in source PDF extraction — ending inferred from context, not verified]",468127,452238,
Brussels,2025,"Environment, Housing & Energy",06,Housing and community amenities,"Approximated (Claude, Division-level only)",M43-P130,Développement territorial & Logement / Financer NEO,"Fund NEO (major urban development project, Heysel)",0,0,
Brussels,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",M39-P150,Planification régionale et relations extérieures / Financer screen.brussels,Fund screen.brussels (audiovisual/film fund),3466,3571,
Brussels,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",M39-P155,Planification régionale et relations extérieures / Financer CIVA,"Fund CIVA (International Centre for City, Architecture and Landscape)",2971,3041,
Brussels,2025,"Culture, Youth, Sport & Media",08,"Recreation, culture and religion","Approximated (Claude, Division-level only)",M39-P156,Planification régionale et relations extérieures / Financer Kanal,Fund Kanal (Kanal-Centre Pompidou contemporary art museum),24984,25094,
Brussels,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",M45-P001,Social – Santé / Financer la Commission communautaire commune,Fund the Common Community Commission (COCOM),232529,232529,[COFOG] BLENDED: the three Community Commissions (COCOM/VGC/COCOF) jointly fund both Health (07) and Social protection (10) competencies; not separable at this data grain. Primary = 10.
Brussels,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",M45-P002,Social – Santé / Financer la Commission communautaire flamande,Fund the Flemish Community Commission (VGC),96868,96868,[COFOG] BLENDED: the three Community Commissions (COCOM/VGC/COCOF) jointly fund both Health (07) and Social protection (10) competencies; not separable at this data grain. Primary = 10.
Brussels,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",M45-P003,Social – Santé / Financer la Commission communautaire,"Fund the [French] Community Commission (COCOF) [name truncated in source PDF extraction — ending inferred from context, not verified]",355649,355649,[COFOG] BLENDED: the three Community Commissions (COCOM/VGC/COCOF) jointly fund both Health (07) and Social protection (10) competencies; not separable at this data grain. Primary = 10.
Brussels,2025,Health & Social Welfare/Care,10,Social protection,"Approximated (Claude, Division-level only)",M45-P041,Social – Santé / Gérer efficacement l'accueil dans le cadre des crises,"Efficiently manage reception under crisis [situations] [name truncated in source PDF extraction — ending inferred from context, not verified]",48917,46716,[COFOG] BLENDED: the three Community Commissions (COCOM/VGC/COCOF) jointly fund both Health (07) and Social protection (10) competencies; not separable at this data grain. Primary = 10.
Brussels,2025,Provisions/Other,XX,Unclassified / not allocable to a single division,"Approximated (Claude, Division-level only)",M36-P043,"Finances, Budget et Fiscalité / Gérer efficacement les provisions",Efficiently manage provisions,136184,136184,Split out from Finance & Budget for comparability with the other regions' dedicated Provisions divisions/domains. | [COFOG] Reserve/provision.
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P001,"Finances, Budget et Fiscalité / Financer les moyens de subsistance de","Fund the operating resources of [the Finance department] [name truncated in source PDF extraction — ending inferred from context, not verified]",11098,11280,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P002,"Finances, Budget et Fiscalité / Financer les moyens de subsistance du SPRB",Fund the operating resources of the SPRB,31992,33120,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P023,"Finances, Budget et Fiscalité / Dépenses dans le cadre du fonds de gestion de la","Expenditure under the management fund for [debt/treasury management] [name truncated in source PDF extraction — ending inferred from context, not verified]",248241,248249,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P041,"Finances, Budget et Fiscalité / Gérer efficacement les finances de l'entité régionale",Efficiently manage the finances of the regional entity,2926,8718,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P042,"Finances, Budget et Fiscalité / Gérer efficacement la dette publique régionale 6202.40.30",Efficiently manage the regional public debt,727758,730164,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P044,"Finances, Budget et Fiscalité / Initiatives régionales",Regional initiatives,130000,330000,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P071,"Finances, Budget et Fiscalité / Gérer le processus fiscal",Manage the tax process,68896,68663,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P072,"Finances, Budget et Fiscalité / Mettre en œuvre une stratégie concernant les","Implement a strategy concerning [tax/fiscal policy] [name truncated in source PDF extraction — ending inferred from context, not verified]",24178,32619,
Brussels,2026,Finance & Budget,01,General public services,"Approximated (Claude, Division-level only)",M36-P073,"Finances, Budget et Fiscalité / Participer à des initiatives régionales",Participate in regional initiatives,0,0,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P001,Planification régionale et relations extérieures / Financer les moyens de subsistance de,Fund operating resources,13192,13855,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P002,Planification régionale et relations extérieures / Financer les moyens de subsistance de,Fund operating resources,6830,8037,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P041,Planification régionale et relations extérieures / Promouvoir l'égalité des chances dans la Région de,"Promote equal opportunities in the [Brussels-Capital] Region [name truncated in source PDF extraction — ending inferred from context, not verified]",3482,3780,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P042,Planification régionale et relations extérieures / Financer des initiatives gouvernementales,Fund government initiatives,852,1000,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P071,Planification régionale et relations extérieures / Promouvoir l'image nationale et internationale de,"Promote the national and international image of [the Region] [name truncated in source PDF extraction — ending inferred from context, not verified]",9483,10023,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P072,Planification régionale et relations extérieures / Développer et soutenir les relations extérieures de,"Develop and support the external relations of [the Region] [name truncated in source PDF extraction — ending inferred from context, not verified]",1056,1142,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P073,Planification régionale et relations extérieures / Financer des projets transversaux avec des fonds,"Fund cross-cutting projects with [EU/structural] funds [name truncated in source PDF extraction — ending inferred from context, not verified]",129958,304838,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P074,Planification régionale et relations extérieures / Promotion du multilinguisme dans la Région de,"Promotion of multilingualism in the [Brussels-Capital] Region [name truncated in source PDF extraction — ending inferred from context, not verified]",135,157,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P108,Planification régionale et relations extérieures / Financer perspective.brussels,Fund perspective.brussels (regional planning & statistics agency),36246,36066,
Brussels,2026,Foreign Affairs & International,01,General public services,"Approximated (Claude, Division-level only)",M39-P144,Planification régionale et relations extérieures / Financer le Commissariat à l'Europe et aux,"Fund the Commissioner for Europe and [International Relations] [name truncated in source PDF extraction — ending inferred from context, not verified]",500,500,
Brussels,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",M34-P001,Chancellerie / Financer les activités de l'exécutif de la Région de,"Fund the activities of the executive of the [Brussels-Capital] Region [name truncated in source PDF extraction — ending inferred from context, not verified]",26155,26360,"Note: no dedicated 'Government Cabinet(s)' line was found anywhere in this Brussels dataset — unlike Wallonia (DO02) and Flanders (VF-VO), ministerial cabinet costs are not separately identifiable here."
Brussels,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",M38-P001,Régie foncière et achats de Biens & Services / Financer les moyens de subsistance de,Fund operating resources,9253,9303,
Brussels,2026,General Administration,01,General public services,"Approximated (Claude, Division-level only)",M38-P041,Régie foncière et achats de Biens & Services / Gérer efficacement la régie foncière et les achats de,"Efficiently manage property management and procurement of [goods and services] [name truncated in source PDF extraction — ending inferred from context, not verified]",60730,65836,
Brussels,2026,Parliament/Legislature,01,General public services,"Approximated (Claude, Division-level only)",M34-P100,Chancellerie / Financer le Parlement de la Région de Bruxelles,Fund the Parliament of the Brussels-Capital Region,61200,61200,Split out from the Chancellerie mission so Brussels' legislature is comparable to Wallonia's Parlement de Wallonie and Flanders' Vlaams Parlement. | [COFOG] Legislature — COFOG 01.1.1 (bundled with executive at class level in standard COFOG).
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M35-P001,Fonction publique / Financer les moyens de subsistance de,"Fund the operating resources of [the Civil Service department] [name truncated in source PDF extraction — ending inferred from context, not verified]",5292,5292,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M35-P002,Fonction publique / Financer les moyens de subsistance du SPRB,Fund the operating resources of the SPRB (Brussels-Capital Regional Public Service),8430,8450,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M35-P041,Fonction publique / Gérer efficacement la fonction publique - RH du,"Efficiently manage the civil service — HR of [the SPRB] [name truncated in source PDF extraction — ending inferred from context, not verified]",72826,72962,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M35-P071,Fonction publique / Gérer efficacement la fonction publique,Efficiently manage the civil service,1332,850,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M35-P158,Fonction publique / Financer le service social du SPRB,Fund the social service of the SPRB,261,261,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M37-P001,Services IT / Financer les moyens de subsistance de,Fund operating resources,2893,2993,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M37-P041,Services IT / Gérer efficacement les moyens IT de l'entité,Efficiently manage the IT resources of the entity,10231,10841,
Brussels,2026,Support Services (personnel/digital/legal),01,General public services,"Approximated (Claude, Division-level only)",M37-P042,Services IT / Poursuivre la simplification administrative au sein,"Pursue administrative simplification within [the region] [name truncated in source PDF extraction — ending inferred from context, not verified]",1071,1243,
